Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepLevel_1,SleepLevel_2,SleepLevel_3
1503960366,2016-04-12,1,327,346,0.9450867052023122,0.0375722543352601,0.0173410404624277
1503960366,2016-04-13,2,384,407,0.9434889434889436,0.027027027027027,0.0294840294840294
1503960366,2016-04-15,1,412,442,0.9321266968325792,0.0497737556561085,0.0180995475113122
1503960366,2016-04-16,2,340,367,0.93,0.05,0.02
1503960366,2016-04-17,1,700,712,0.98379970544919,0.01620029455081,0.0
1503960366,2016-04-19,1,304,320,0.95,0.05,0.0
1503960366,2016-04-20,1,360,377,0.9549071618037136,0.0371352785145888,0.0079575596816976
1503960366,2016-04-21,1,325,364,0.8928571428571429,0.0989010989010989,0.0082417582417582
1503960366,2016-04-23,1,361,384,0.9401041666666666,0.0572916666666666,0.0026041666666666
1503960366,2016-04-24,1,430,449,0.9576837416481068,0.042316258351893,0.0
1503960366,2016-04-25,1,277,323,0.8575851393188855,0.1238390092879257,0.0185758513931888
1503960366,2016-04-26,1,245,274,0.8941605839416058,0.0948905109489051,0.010948905109489
1503960366,2016-04-28,1,366,393,0.931297709923664,0.0661577608142493,0.0025445292620865
1503960366,2016-04-29,1,341,354,0.963276836158192,0.0367231638418079,0.0
1503960366,2016-04-30,1,404,425,0.9505882352941176,0.0470588235294117,0.0023529411764705
1503960366,2016-05-01,1,369,396,0.9318181818181818,0.0555555555555555,0.0126262626262626
1503960366,2016-05-02,1,277,309,0.8964401294498382,0.0841423948220064,0.0194174757281553
1503960366,2016-05-03,1,273,296,0.9222972972972971,0.0675675675675675,0.0101351351351351
1503960366,2016-05-05,1,247,264,0.9356060606060606,0.0606060606060606,0.0037878787878787
1503960366,2016-05-06,1,334,367,0.9100817438692098,0.0844686648501362,0.0054495912806539
1503960366,2016-05-07,1,331,349,0.9484240687679084,0.0458452722063037,0.0057306590257879
1503960366,2016-05-08,1,594,611,0.972176759410802,0.0261865793780687,0.0016366612111292
1503960366,2016-05-09,1,338,342,0.9883040935672516,0.0116959064327485,0.0
1503960366,2016-05-10,1,383,403,0.9503722084367244,0.0471464019851116,0.0024813895781637
1503960366,2016-05-11,1,285,306,0.931372549019608,0.0686274509803921,0.0
1644430081,2016-04-29,1,119,127,0.937007874015748,0.0629921259842519,0.0
1644430081,2016-04-30,1,124,142,0.8732394366197183,0.1056338028169014,0.0211267605633802
1644430081,2016-05-02,1,796,961,1.0,0.0,0.0
1644430081,2016-05-08,1,137,154,0.8896103896103896,0.0909090909090909,0.0194805194805194
1844505072,2016-04-15,1,644,961,0.8738127544097694,0.0773405698778833,0.0488466757123473
1844505072,2016-04-30,1,722,961,0.6955684007707129,0.1984585741811175,0.1059730250481695
1844505072,2016-05-01,1,590,961,0.7632600258732212,0.1371280724450194,0.0996119016817593
1927972279,2016-04-12,3,750,775,0.9615975422427036,0.0368663594470046,0.0015360983102918
1927972279,2016-04-13,1,398,422,0.943127962085308,0.0402843601895734,0.0165876777251184
